Symbol,Name,Country,Sector,Industry
A,Agilent Technologies Inc. Common Stock,United States,Industrials,Biotechnology: Laboratory Analytical Instruments
AA,Alcoa Corporation Common Stock ,United States,Industrials,Aluminum
AAC,Ares Acquisition Corporation Class A Ordinary Shares,,Industrials,Metal Fabrications
AACT,Ares Acquisition Corporation II Class A Ordinary Shares,,,
AAIC,Arlington Asset Investment Corp Class A (new),United States,Real Estate,Real Estate Investment Trusts
AAIC^B,Arlington Asset Investment Corp 7.00% ,United States,,
AAIC^C,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   ,United States,,
AAIN,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,United States,Real Estate,Real Estate Investment Trusts
AAM^A,Apollo Asset Management Inc. 6.375% Series A Preferred Stock,United States,,
AAM^B,Apollo Asset Management Inc. 6.375% Series B Preferred Stock,United States,,
AAN,Aarons Holdings Company Inc. Common Stock ,United States,Consumer Discretionary,Diversified Commercial Services
AAP,Advance Auto Parts Inc.,United States,Consumer Discretionary,Auto & Home Supply Stores
AAT,American Assets Trust Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts
AB,AllianceBernstein Holding L.P.  Units,United States,Finance,Investment Managers
ABBV,AbbVie Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ABC,AmerisourceBergen Corporation Common Stock,United States,Health Care,Other Pharmaceuticals
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),Brazil,Consumer Staples,Beverages (Production/Distribution)
ABG,Asbury Automotive Group Inc Common Stock,United States,Consumer Discretionary,Other Specialty Stores
ABM,ABM Industries Incorporated Common Stock,United States,Finance,Diversified Commercial Services
ABR,Arbor Realty Trust Common Stock,United States,Real Estate,Real Estate Investment Trusts
ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,United States,,
ABR^E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,United States,,
ABR^F,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,United States,,
ABT,Abbott Laboratories Common Stock,United States,Health Care,Medical/Dental Instruments
AC,Associated Capital Group Inc. Common Stock,United States,Finance,Investment Bankers/Brokers/Service
ACA,Arcosa Inc. Common Stock ,United States,Industrials,Metal Fabrications
ACCO,Acco Brands Corporation Common Stock,United States,Consumer Discretionary,Publishing
ACEL,Accel Entertainment Inc. ,United States,Consumer Discretionary,Services-Misc. Amusement & Recreation
ACHR,Archer Aviation Inc. Class A Common Stock,United States,Industrials,Aerospace
ACI,Albertsons Companies Inc. Class A Common Stock,United States,Consumer Staples,Food Chains
ACM,AECOM Common Stock,United States,Consumer Discretionary,Military/Government/Technical
ACN,Accenture plc Class A Ordinary Shares (Ireland),Ireland,Consumer Discretionary,Business Services
ACP,abrdn Income Credit Strategies Fund Common Shares,United States,Finance,Investment Managers
ACP^A,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,United States,,
ACR,ACRES Commercial Realty Corp. Common Stock,United States,Real Estate,Real Estate Investment Trusts
ACR^C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ,United States,,
ACR^D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,United States,,
ACRE,Ares Commercial Real Estate Corporation Common Stock,United States,Real Estate,Real Estate Investment Trusts
ACRO,Acropolis Infrastructure Acquisition Corp. Class A Common Stock,,Finance,Blank Checks
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,United States,Finance,Finance/Investors Services
ADC,Agree Realty Corporation Common Stock,United States,Real Estate,Real Estate Investment Trusts
ADC^A,Agree Realty Corporation Depositary Shares each representing 1/1000th of a 4.250% Series A Cumulative Redeemable Preferred Stock,United States,,
ADCT,ADC Therapeutics SA Common Shares,,Health Care,Biotechnology: Pharmaceutical Preparations
ADM,Archer-Daniels-Midland Company Common Stock,United States,Consumer Staples,Packaged Foods
ADNT,Adient plc Ordinary Shares ,United States,Consumer Discretionary,Auto Parts:O.E.M.
ADT,ADT Inc. Common Stock,United States,Consumer Discretionary,Diversified Commercial Services
ADX,Adams Diversified Equity Fund Inc.,United States,Finance,Investment Managers
AEE,Ameren Corporation Common Stock,United States,Utilities,Power Generation
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,United States,,
AEG,AEGON N.V. Common Stock,Netherlands,Finance,Life Insurance
AEL,American Equity Investment Life Holding Company Common Stock,United States,Finance,Life Insurance
AEL^A,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 5.95% Fixed-Rate Reset Non-Cumulative Preferred Stock Series A,United States,,
AEL^B,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 6.625% Fixed-Rate Reset Non-Cumulative Preferred Stock Series B,United States,,
AEM,Agnico Eagle Mines Limited Common Stock,Canada,,
AENZ,Aenza S.A.A. American Depositary Shares,,Industrials,Engineering & Construction
AEO,American Eagle Outfitters Inc. Common Stock,United States,Consumer Discretionary,Clothing/Shoe/Accessory Stores
AER,AerCap Holdings N.V. Ordinary Shares,Netherlands,Consumer Discretionary,Diversified Commercial Services
AES,The AES Corporation Common Stock,United States,Utilities,Electric Utilities: Central
AESC,The AES Corporation Corporate Units,United States,Utilities,Electric Utilities: Central
AESI,Atlas Energy Solutions Inc. Class A Common Stock,,Industrials,Metal Fabrications
AEVA,Aeva Technologies Inc. Common Stock,,Consumer Discretionary,Auto Parts:O.E.M.
AFB,AllianceBernstein National Municipal Income Fund Inc,United States,Finance,Trusts Except Educational Religious and Charitable
AFG,American Financial Group Inc. Common Stock,United States,Finance,Property-Casualty Insurers
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,United States,Finance,Property-Casualty Insurers
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,United States,Finance,Property-Casualty Insurers
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,United States,,
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,United States,Finance,Property-Casualty Insurers
AFL,AFLAC Incorporated Common Stock,United States,Finance,Accident &Health Insurance
AFT,Apollo Senior Floating Rate Fund Inc. Common Stock,,Finance,Investment Managers
